"ID","AGE","WEIGHT","ID_NUMBER","GENDER","NATIONALITY"
17,52,100,"UC82340353OVP9288453D2454176",1,"Timor-Leste"
18,12,139,"UN64327941KEL8543557A8152029",1,"Paraguay"
19,2,48,"DE54871441WPX1500778C7217446",2,"Czech Republic"
20,87,127,"LG25928612ASN4539865B7016104",1,"Malaysia"
21,78,74,"FH42569923PUC4650165F8186533",1,"Cape Verde"
22,82,132,"AO82088545IDC3734555M5902637",2,"Latvia"
23,42,52,"HS12278601YCR6110060I2533514",1,"Finland"
24,53,31,"BP32873841KDD9255051V0891338",1,"Estonia"
25,41,45,"QD26224481RLG3180575I0731655",1,"Luxembourg"
26,41,123,"NH63688829JTT2515553R5918326",2,"Spain"
27,49,103,"LO67481202JRB5870932L7062175",2,"South Sudan"
28,9,61,"VK39136264PSD0291784I5543597",1,"Djibouti"
29,3,105,"CD20097347LVU8783594J5173324",1,"Maldives"
30,1,58,"ZL55134044CFT3204841M5335576",1,"Togo"
31,17,99,"XS82327656NLO1596874I3065854",2,"Senegal"
32,71,42,"IN29215871KED1253618N7764551",1,"Saudi Arabia"
33,58,67,"LO11090742CTB5578771M9094933",2,"Nigeria"
34,49,73,"XH16944676FBM4122646N3361349",2,"Saint Vincent and The Grenadines"
35,45,89,"XT84374701EQZ3132548Q5865200",1,"China"
36,21,98,"TR38282099MYR3221223T7704647",1,"Suriname"
37,25,78,"WU84617773MBC7372073K0383841",2,"Rwanda"
38,38,111,"TO66802552VEP9669450Q1676356",1,"Yemen"
39,62,65,"TD14694876ETV2261263C7364087",1,"Georgia"
40,52,89,"HD27963240NUJ3137724J8858923",2,"Bosnia and Herzegovina"
41,5,115,"LT44930734NVI4942733R2884332",2,"Eritrea"
42,71,123,"AJ37954821AGX4330241D1407521",2,"Brunei"
43,15,53,"BF61168528KLJ1606448E2425138",1,"Poland"
44,87,55,"MY68818665IIX3423829N4493843",2,"Brazil"
45,55,35,"FE60516503OWC1686471C8342456",2,"Swaziland"
46,85,101,"EQ46256430KJQ6091653O7283452",1,"Trinidad and Tobago"
47,49,138,"PQ88345958GEM9481479L6379054",1,"Portugal"
48,43,100,"KE11873339RMS9754447U7185395",1,"Latvia"
49,79,51,"TS65940734HJG2714946V6186863",2,"Australia"
50,62,133,"JN23716511UUD3388516M7871516",2,"Ireland"
51,31,114,"HV24356343KFV2184742X9836093",2,"Uganda"
52,83,137,"HP18442527NXC1638715I6607367",2,"Nigeria"
53,4,108,"HT42637202CIZ8770268B5865415",1,"Croatia"
54,40,139,"CP91694977HEL8755438D1537715",1,"Niue"
55,74,128,"BO98511247QHC7419589M3785889",2,"Tuvalu"
56,31,122,"CG44064982GRD6684211Z6423045",1,"Sudan"
57,18,42,"OL65117454WXH5654288Y6632492",1,"Algeria"
58,25,94,"WM63430792GPJ4374118B2684106",2,"Panama"
59,1,107,"IX33613586ODF3697842L8585716",2,"Mali"
60,78,131,"FS47161974XKQ4374289Y9449173",2,"Sierra Leone"
61,29,44,"UC77883937RXJ8182232I5137421",1,"Taiwan"
62,86,36,"IL51536578LFK1834376E6878483",1,"Viet Nam"
63,26,88,"IT69014224WZL9228535V8434767",2,"Mongolia"
64,24,104,"LM07215885CDQ2599581F7059621",2,"Aruba"
65,21,88,"SM17286566QGC0488700P7833053",2,"Sint Maarten"
66,88,119,"TW25550375VYH8721987W6823691",2,"India"
67,87,63,"OB64505846GGN0412754V7259284",1,"Korea, North"
68,56,130,"TM96988514NYX1615331L5470291",1,"Western Sahara"
69,69,57,"HE83464550VYI2496277S5822055",2,"Martinique"
70,59,99,"VH19303431TAL4606274S7814337",2,"Algeria"
71,79,102,"GX88623461BNJ9016683C4485268",1,"Hungary"
72,17,139,"YY10859622OBO6429778X3307407",1,"Virgin Islands, United States"
73,12,72,"XB95732574UPG7204558X5222858",2,"Saint Vincent and The Grenadines"
74,64,106,"XV37044441CYD6211868W4764330",2,"Kiribati"
75,59,73,"HI51557689NYO9343956Q7583203",1,"United States Minor Outlying Islands"
76,63,36,"WN29344522ZPZ3439255L2417766",2,"Angola"
77,36,104,"AB89565891GRD6878553N5638233",2,"Haiti"
78,32,66,"HL74371520IOA6421183F6965214",2,"United Arab Emirates"
79,22,122,"FS28760581IID7743171E6863611",2,"Uganda"
80,50,140,"RE69972572ZPX4455111U4020528",1,"Brazil"
81,82,86,"QU38310543MLD9531853Q8147760",2,"Luxembourg"
82,70,39,"BK14468450SNJ4681418Q7877137",2,"Macedonia"
83,26,104,"SS33967770TDB1447881V1878564",1,"Turkmenistan"
84,69,107,"SI82065552IOK9823661M2557641",2,"Uzbekistan"
85,10,67,"DZ13604164KOV0720363P5817577",1,"Cameroon"
86,2,90,"BE75507426CYC2634645I3760635",2,"Falkland Islands"
87,11,35,"XV72726762GOA9727566C5316256",2,"Guernsey"
88,42,47,"YZ19631635WHX2360262Q3234524",2,"United Kingdom (Great Britain)"
89,59,111,"VR40417752CCZ9632467N1909437",2,"Uzbekistan"
90,9,72,"SU44757584YPA3307344B4713090",1,"Albania"
91,85,88,"XA12165049SRX6800509Q4721569",2,"Singapore"
92,74,78,"YV13652744VSU4897227U2405631",2,"Fiji"
93,49,56,"DG32321839KAZ0726178M2142934",1,"United Arab Emirates"
94,79,106,"AH37841326GDG9345293O5562924",2,"Gambia"
95,50,84,"OF80551714HOI1524660L6165861",2,"Turks and Caicos Islands"
96,30,47,"IY57388924MUK3567993U5521507",1,"Saint Helena, Ascension and Tristan da Cunha"
97,84,126,"KE63385860YCN2941852S4874169",1,"Montenegro"
98,58,33,"YH58762475EGD2052482R5533219",2,"Aruba"
99,61,79,"EZ94957726WTN3033711N3531452",2,"Peru"
100,41,72,"GA76231054KOC8627416C8550961",2,"Sao Tome and Principe"
101,51,128,"EP42782696LEU1787577D6270041",2,"Guatemala"
102,45,120,"EU58714745TEH1234368G1670224",1,"Israel"
103,75,96,"QU83612629QBI7894866A6846171",1,"Kenya"
104,21,45,"ZE10445117RFY9567241P2237843",1,"Guyana"
105,56,139,"UO32222387ACC4804671W5458637",1,"Honduras"
106,39,117,"YQ53085644HZN1337555K2575514",1,"Falkland Islands"
107,70,104,"HT26281878QLM7885754K1982031",2,"Croatia"
108,46,47,"QY87460566IBF3335147U3753847",2,"Bangladesh"
109,77,78,"QC81858386IEP5818265F7863252",1,"Saudi Arabia"
110,41,109,"TZ38871134TVK6886993U4626209",1,"Czech Republic"
111,49,85,"RI33588392XQN9263666B5525545",1,"Iran"
112,28,44,"HN14969033JWD2182659M9744808",1,"El Salvador"
113,15,100,"VJ22623344YVE1557342J8601461",1,"Cocos (Keeling) Islands"
114,30,41,"XO23596789XDA5133881P1684643",2,"Oman"
115,59,94,"CH69515725PTE8663646F1238638",1,"Bolivia"
116,6,102,"FO83334142EQL8460756U7926430",1,"Ghana"
117,30,95,"WZ76052789MDQ5638328M8623161",1,"Hungary"
118,53,104,"CO55364464NFK3271890N5947785",1,"El Salvador"
119,65,112,"KB50177702KOW6867453I2084568",1,"Libya"
120,61,92,"XI42431287FWE8732785X1753876",2,"Nigeria"
121,56,61,"OH17442322LUI2172598E1411185",1,"Somalia"
122,78,82,"CJ27577787VQO1132783X3901581",2,"Western Sahara"
123,9,91,"EO45052753CQN3108634H1042420",2,"Svalbard and Jan Mayen Islands"
124,80,123,"SD64115787XKE0687776T6376651",2,"Paraguay"
125,44,103,"YG62368536CJU2926673Q7469768",1,"Maldives"
126,62,96,"VW26873027BSU7370853S8237178",1,"Mexico"
127,22,37,"FJ36516656XRZ2418818H4860561",1,"Saint Vincent and The Grenadines"
128,89,66,"NH28965341NSE4144121W6577852",1,"Taiwan"
129,18,132,"WJ59164281UWI5474568N0382678",2,"Sri Lanka"
130,28,73,"OX67359567WIS8860726E3108739",2,"Serbia"
131,8,130,"MM82436393SHK6166521P3813757",2,"Ethiopia"
132,85,61,"DD67715216UKJ4274234J7736456",2,"Paraguay"
133,40,42,"JP79376239SOS1763637U8683226",2,"Niger"
134,68,79,"TN75635675ELZ5958125G4134529",1,"Uganda"
135,60,84,"UT56156145EYU2410992G4466785",1,"China"
136,2,99,"HP63117419MGD4842678L5305412",1,"Guinea-Bissau"
137,74,80,"HC14750779JXV1251288C8614775",1,"Nicaragua"
138,8,50,"AV03226430UZF1655566G6553607",2,"Belarus"
139,33,137,"OH18616160WMO2385715T1564716",2,"Yemen"
140,38,48,"XS44913165OSO4862364L3532917",2,"Christmas Island"
141,3,114,"SV54348245LIO6354363Q3169365",1,"Palau"
142,84,91,"UI45817997SSM4077244I0450462",2,"Belize"
143,3,84,"XJ75678802VQD6157228H8614811",2,"Gabon"
144,16,67,"FE23075684SUG4845361W3929667",2,"New Caledonia"
145,29,99,"AR86562221ZQQ7387174Y0612563",2,"Tajikistan"
146,15,78,"OY26115956QTY5300634D8125178",2,"Puerto Rico"
147,86,136,"XY55110825YZZ6610728Z6713583",2,"Namibia"
148,48,37,"US83244873PUV2692481F1184243",1,"Liberia"
149,40,107,"KJ14883864OLZ9666634L3667541",1,"Guam"
150,78,46,"LC94183203WTV6373251W8636728",2,"Peru"
151,42,120,"LC65235756VNB7366541N4352946",1,"New Caledonia"
152,3,116,"OY87157451GPX9713294P7969852",1,"Belarus"
153,17,74,"XW83608762JJK5535871Y0555125",2,"Svalbard and Jan Mayen Islands"
154,18,105,"JD16817899PCB2790298C6310865",1,"Comoros"
155,87,76,"HS28486124WJG7971746C3575242",2,"Ireland"
156,8,49,"DP04231737JRR7842913R6891829",2,"Chad"
157,17,56,"ZD86223086NDM3147345V1355443",2,"Cape Verde"
158,7,107,"MQ35946756TKC6267854O5651819",1,"Dominican Republic"
159,66,50,"EX24328608YHY0850384N4301451",2,"Mozambique"
160,3,68,"OF41406504SMS3025766A1594235",1,"Guam"
161,48,49,"LF73467323XRV4311695I5813504",2,"Korea, South"
162,59,131,"PH76633385MNR7026882M0453857",2,"Bangladesh"
163,78,78,"HL17615186RHP7767896C7820655",2,"Russian Federation"
164,26,95,"CW97180576NHQ9512785B5214195",1,"Estonia"
165,31,71,"GN55604384FCH0198489G8535379",2,"Northern Mariana Islands"
166,6,138,"SE11483344IQX4803849Q6746004",2,"Falkland Islands"
167,71,134,"GJ81516368VUK5418467D5575789",2,"Madagascar"
168,13,48,"IP40031408LGT8117912H3535362",1,"Ireland"
169,8,140,"KG53136182RLJ8113416F7269272",2,"Puerto Rico"
170,90,73,"GX17557046IGR4641317E2054665",1,"Sri Lanka"
171,42,123,"FZ90279623FMY4132366T4449265",1,"Myanmar"
172,36,138,"RG42128744ELF3382415E6387645",1,"Togo"
173,74,109,"FD85573449FSC6772866N8266566",1,"Albania"
174,62,137,"TV84281713OSO8402746Q1093475",2,"Sint Maarten"
175,77,90,"KY22153416BJY0570424G6345863",2,"Equatorial Guinea"
176,25,112,"UK78676021DYL7587744S8675906",1,"Sri Lanka"
177,31,97,"DO61837119VGS4462515G1936850",2,"Tanzania"
178,81,32,"ON82935575APF0142438H6927352",1,"Saint Martin"
179,27,43,"CD32030971KGS5850413E6198941",2,"Algeria"
180,54,30,"TY82444178SXH7587339L6281163",1,"Antarctica"
181,19,133,"WM63682173YJA0651596F0577899",1,"Iraq"
182,70,122,"YY17376924EGP3739587Q7670771",2,"Moldova"
183,77,41,"XX17462368TNP7745696X5306098",1,"Austria"
184,82,113,"LP59926555LWB7499084B3416126",1,"Isle of Man"
185,2,72,"AU34347851NJI2272376Y4452195",2,"Malaysia"
186,3,57,"VQ53377305RLN5441634R5222754",2,"Dominica"
187,88,74,"VT52716860ZEY4674423W8748577",2,"Central African Republic"
188,7,139,"JX12661552YKG2126734G1785686",2,"Guatemala"
189,42,90,"IG35578598IOP4102282L4201351",2,"Guinea"
190,20,33,"XF65218543ZJW3229638Q1082285",2,"Georgia"
191,67,66,"PC01201561ZTD2116343F1499871",2,"Lebanon"
192,67,122,"QP85874214RPX1258329L2574867",2,"Cook Islands"
193,24,36,"ZU42529626MUK7384682K8353172",1,"Ethiopia"
194,71,71,"PU33878827BFL5538766I5335342",2,"Switzerland"
195,52,131,"CV87558256TEJ2681888N7454217",2,"Hungary"
196,22,69,"MM28816223QLC1185490U0210022",1,"Armenia"
197,43,76,"PL80875957DUS7923576V1548218",1,"Trinidad and Tobago"
198,51,50,"PG19296651EVN8884173M0121845",1,"Svalbard and Jan Mayen Islands"
199,21,82,"SG10786866IPQ0678571F3529124",2,"Nepal"
200,87,47,"OD43757886LHU7780275Q6248705",2,"Japan"
201,70,123,"EU89322962RXX7232114O7912341",2,"Bosnia and Herzegovina"
202,9,37,"MI50582235YQI9513232N6621102",1,"Lebanon"
203,57,66,"NA48403610SPO2118318Y6240380",1,"Lebanon"
204,18,108,"RO98662834INX0585689Y4757159",2,"Albania"
205,30,98,"RM33980334BQF6721836S3036844",2,"Northern Mariana Islands"
206,39,113,"MK39161672MOO7909444D4071296",2,"Equatorial Guinea"
207,38,62,"VJ01011372VFQ6036266K9958627",2,"Finland"
208,21,66,"EJ17584615NXY0741670X1727448",2,"Cambodia"
209,21,74,"VQ75136855MKX9556327J2648982",2,"Russian Federation"
210,72,107,"XE97925411IJB8860978H8686889",1,"India"
211,3,91,"GY87181116NKJ7866411V8867176",2,"Denmark"
212,73,88,"EU65651334LJJ7768449K8585414",2,"Martinique"
213,68,55,"NS80764313QFT5133774I6228595",2,"Dominican Republic"
214,28,135,"KG46337399UPO1686896T1828965",1,"Montenegro"
215,81,85,"PP52063348LXD6207231H9682413",2,"Chad"
216,16,122,"RH03129437NQI6578158M4334511",1,"Mauritius"
217,44,66,"IP85425924SCI1222801E2100187",2,"Madagascar"
218,53,125,"YY14315612PZS8473359X2341785",2,"Algeria"
219,74,126,"XQ60059106YTQ1727662G8787176",2,"Macedonia"
220,56,106,"BF38019463EJZ8577438L6456273",1,"Angola"
221,87,130,"VV93634494FPV4234674J7873283",2,"Holy See (Vatican City State)"
222,56,65,"KM71715561IYT2791892N8847862",2,"Bhutan"
223,46,31,"VA82435057SGJ5049882A2608431",2,"Pakistan"
224,60,128,"HV06452804JUG0245422V6228168",2,"Czech Republic"
225,20,39,"AK57086259JGB2181466N0176495",2,"Pakistan"
226,39,78,"IO67023329SZF4777941S4178104",2,"Korea, South"
227,32,56,"EN42598278HUY9636296P3713397",1,"Christmas Island"
228,31,49,"XZ97564718JJG1729724U2475955",2,"Venezuela"
229,61,44,"PS50454785SNI2822558G8370205",2,"Faroe Islands"
230,6,122,"JX71581144ZTF0112182H7878200",2,"Seychelles"
231,33,86,"OV67053411DDR3888468A2852037",1,"Mauritania"
232,86,59,"JI88542673KEA1491971H3563098",2,"Lebanon"
233,59,108,"CD02498824VUC5469057T8722484",2,"Panama"
234,21,69,"TF82769383NEX9450534F2443772",1,"Turkmenistan"
235,72,116,"OV19441036JSS3978024O3548185",1,"Suriname"
236,54,71,"VT84589887DWH2318521M2326214",1,"Holy See (Vatican City State)"
237,48,35,"JN84640319EGN1822021M7548733",2,"Mauritania"
238,15,34,"MH94227567GFJ2590835B6152205",2,"Sao Tome and Principe"
239,52,52,"YU66822386SWD8642061E4388255",2,"Jordan"
240,65,100,"DY57685937HMN1926478K1380386",2,"Curaçao"
241,1,86,"TK86344292WIL1777597N4552571",2,"Marshall Islands"
242,33,115,"KT21752424HHD7833241J2738702",1,"Saint Kitts and Nevis"
243,76,80,"LW43685222JVK6204472S0493112",2,"Equatorial Guinea"
244,43,32,"KM76836278NRW6513281Y8850422",1,"Panama"
245,18,41,"IO60068980DWQ4313822Y1350604",2,"Turkmenistan"
246,9,137,"HA85456030ODR0443163H2576156",1,"Andorra"
247,40,61,"SV12776386SAY7005521U1212782",2,"Israel"
248,79,109,"LS85182798JDH2733431Z7306712",1,"Saudi Arabia"
249,33,99,"BM88612975QHE8358043K7028646",2,"Zimbabwe"
250,53,132,"WQ58232128YQQ4652384N2473376",1,"Croatia"
251,28,50,"IG77353797AKE3310438P5883320",2,"Micronesia"
252,14,62,"MS57537535LTE3884506Z9322375",2,"Italy"
253,28,74,"HG74389863DKP5536463P4446727",1,"Burkina Faso"
254,30,126,"CT28026814VAI6676853G7237499",1,"Bouvet Island"
255,50,82,"QA81613611YKF2745358H4574546",2,"Sudan"
256,58,80,"IK66384048MDS5025705P3387727",2,"Lebanon"
257,51,76,"TT38272619VCJ3612888T0471700",2,"Australia"
258,57,133,"QM65724820YYF1234568E7469270",2,"French Southern Territories"
259,71,34,"IF71362552GAF2332277I7242285",2,"Somalia"
260,23,79,"GO55434058XYJ6921125I4544898",2,"Croatia"
261,10,83,"PQ24234207OJB1880457U3741491",1,"Iran"
262,64,88,"FX16521451HJE4193288V1678532",1,"Rwanda"
263,55,116,"KR18653854ISF6757076Q1216104",1,"Cayman Islands"
264,52,89,"HR68323647JRF7624085C5270824",1,"Kiribati"
265,53,58,"TR40572830UDX7844560L4394286",1,"Kyrgyzstan"
266,41,70,"WY84768751XMS4235695Q3267693",1,"Singapore"
267,86,75,"WW83754287JNT8283125K6178118",1,"Virgin Islands, United States"
268,45,35,"UD14011327SCB4428038E9724834",2,"Greenland"
269,38,113,"VR87415241HXB7928684L2434207",2,"Hungary"
270,87,123,"PH57624125JMU5333873M5719773",2,"Monaco"
271,16,34,"DZ15886612TLG8141742P1840311",1,"Portugal"
272,84,79,"HX15717738AQD1052471X3767129",1,"Chile"
273,22,123,"LH28873540HJE7811768H9358126",1,"Paraguay"
274,25,42,"XX48554365BNO3922515K6864043",2,"Tunisia"
275,89,46,"LM53754166JLU2637221R2553261",2,"Cyprus"
276,29,52,"ZI99220161VTX4025932K3052115",1,"Palestine, State of"
277,89,51,"EK22545545NAC8168847V9200177",2,"Italy"
278,20,48,"SZ98632637ANF8372813I8116985",1,"Macedonia"
279,64,127,"CJ74284818ITJ1884225F5312337",1,"Congo (Brazzaville)"
280,30,58,"SW74668573PKY1542306X9248818",1,"Iceland"
281,5,49,"UO54812739EWO6282988M8464264",2,"Finland"
282,35,78,"GR81620114NCO0824911V2179191",1,"Zambia"
283,63,110,"XQ60866148QXT2237119F4380436",1,"Central African Republic"
284,32,74,"US53383916HRB2138667Q7835498",2,"Belarus"
285,17,39,"RX94216354KTT7162348O2664371",2,"Saudi Arabia"
286,82,75,"DN32781462GZV6636262X7317936",2,"Qatar"
287,8,70,"RU93037711WPR5777864N1417445",1,"Saint Helena, Ascension and Tristan da Cunha"
288,12,50,"DJ37308971BVW1470416H4575803",1,"South Africa"
289,11,67,"OB38516471DGX8843868C1482729",2,"Montserrat"
